minute,s1_final_EDA,s2_final_EDA,s3_final_EDA,s4_final_EDA,s5_final_EDA,s6_final_EDA,s7_final_EDA,s8_final_EDA,s9_final_EDA,s10_final_EDA,test_progress,avg_EDA
52,0.17896454583333332,0.086116,0.247312,0.407681,0.481971,0.184745,0.999413,0.454927,0.347241,0.182205,0.28888888888888886,0.3570575545833333
53,0.17966392916666668,0.080991,0.239623,0.36540200000000006,0.608785,0.202681,1.0775460000000001,0.493372,0.35749100000000006,0.170674,0.29444444444444445,0.37762289291666673
54,0.1784092875,0.098929,0.184523,0.476865,0.617752,0.206524,0.749644,0.495935,0.370305,0.159142,0.3,0.35380282875
55,0.16915701666666666,0.095085,0.20887,0.438429,0.695889,0.183464,1.089074,0.49465300000000006,0.379274,0.145049,0.3055555555555556,0.3898944016666667
56,0.17042235,0.091241,0.202463,0.438429,0.984102,0.16681,0.945617,0.522846,0.386962,0.142486,0.3111111111111111,0.405137835
57,0.17375917083333334,0.095085,0.226809,0.438429,0.433226,0.211648,1.182577,0.493372,0.388243,0.148892,0.31666666666666665,0.37920401708333334
58,0.17458671666666667,0.105336,0.213995,0.416649,0.31666,0.227022,1.192824,0.384713,0.354929,0.152736,0.32222222222222224,0.35394507166666667
59,0.17080133749999998,0.097648,0.203744,0.388463,0.317941,0.209086,0.7226769999999999,0.229653,0.401057,0.145049,0.3277777777777778,0.28861193375000005
60,0.17437840416666667,0.08996,0.22168400000000002,0.399994,0.325627,0.218054,0.813687,0.26169,0.411307,0.154017,0.3333333333333333,0.30703984041666665
61,0.17864954583333334,0.091241,0.205025,0.440992,0.392236,0.18987,0.802159,0.350112,0.412589,0.145049,0.3388888888888889,0.3207922545833334
62,0.17739497499999998,0.098929,0.226809,0.467896,0.677887,0.168091,0.321765,0.254001,0.418995,0.13608,0.34444444444444444,0.2947847975000001
63,0.1797707166666667,0.101492,0.238342,0.53708,0.6906960000000001,0.218054,0.849482,0.291164,0.425402,0.14633,0.35,0.3677812716666667
64,0.17767255416666666,0.102773,0.107905,0.560141,0.629211,0.220616,0.800879,0.43469,0.435653,0.13608,0.35555555555555557,0.36056205541666664
65,0.17261661666666667,0.096367,0.13994,0.529393,0.33587399999999995,0.168091,0.823934,0.36549,0.4382150000000001,0.130955,0.3611111111111111,0.32008756166666663
66,0.17877775833333334,0.101492,0.146347,0.456366,0.220589,0.184745,0.656071,0.359083,0.439497,0.129674,0.36666666666666664,0.2872641758333333
67,0.1772346875,0.097648,0.105342,0.397432,0.271827,0.16681,0.755979,0.455194,0.449747,0.127111,0.37222222222222223,0.30043246875
68,0.18477858749999998,0.104055,0.107905,0.361559,0.297446,0.180902,0.776473,0.5564319999999999,0.459998,0.14633,0.37777777777777777,0.31758785875
69,0.18608134583333333,0.088679,0.124564,0.346185,0.267984,0.171934,0.690655,0.488513,0.468967,0.127111,0.38333333333333336,0.29606733458333334
70,0.1856969,0.096367,0.101498,0.320561,0.243646,0.146312,1.022469,0.396246,0.49075,0.145049,0.3888888888888889,0.31485949
71,0.18616670416666667,0.101492,0.132252,0.307749,0.255175,0.17834,0.917438,0.510298,0.504844,0.152736,0.39444444444444443,0.32464907041666663
72,0.18223194166666667,0.097648,0.116875,0.285969,0.243646,0.159123,0.858518,0.851173,0.348789,0.151455,0.4,0.3295427941666666
73,0.1902082791666667,0.100211,0.150192,0.289813,0.293603,0.159123,0.011528,0.598721,0.494594,0.15658,0.40555555555555556,0.2444573279166667
74,0.18694625416666666,0.104055,0.14891,0.300062,0.293603,0.128377,0.007685,0.765314,0.498438,0.155299,0.4111111111111111,0.2588689254166666
75,0.18665791666666667,0.105336,0.122001,0.30390600000000006,0.330751,0.134782,0.026898,0.739753,0.029471,0.15658,0.4166666666666667,0.21361359166666669
76,0.18295270833333335,0.106617,0.171976,0.282126,0.339717,0.180902,0.055077,1.675337,0.50997,0.165549,0.4222222222222222,0.36702237083333333
77,0.185782375,0.106617,0.14762899999999998,0.22575399999999998,0.392236,0.187307,0.030741,1.038339,0.033315,0.159142,0.42777777777777776,0.25068623749999996
78,0.18306484583333335,0.10918,0.15788,0.270595,0.448598,0.156561,0.092223,0.9857980000000001,0.53944,0.159142,0.43333333333333335,0.3102481845833333
79,0.19735702916666667,0.105336,0.109187,0.250096,0.31409800000000004,0.180902,0.108874,1.017835,0.029471,0.13608,0.4388888888888889,0.24492360291666668
80,0.18707968749999998,0.102773,0.13609599999999997,0.247534,0.414012,0.164248,0.026898,1.010146,0.374416,0.138642,0.4444444444444444,0.28018446875
81,0.18034728333333336,0.105336,0.118157,0.244972,0.36405499999999996,0.182183,0.024336,0.829457,0.552254,0.150174,0.45,0.2751271283333333
82,0.17978672916666666,0.106617,0.105342,0.236003,0.379427,0.205243,0.003843,1.16008,0.547128,0.152736,0.45555555555555555,0.30762057291666667
83,0.18379629583333335,0.107899,0.09381,0.24112800000000004,0.412731,0.179621,0.011528,1.080628,0.533034,0.143767,0.46111111111111114,0.2987942295833333
84,0.1838123,0.107899,0.092528,0.271876,0.421698,0.162967,0.017932,1.515151,0.547128,0.161705,0.4666666666666667,0.34826963
85,0.18404719166666667,0.107899,0.128408,0.284688,0.402484,0.179621,0.024336,2.55991,0.549691,0.164267,0.4722222222222222,0.45853511916666667
86,0.1856755625,0.111743,0.128408,0.302625,0.484464,0.180902,0.008966,2.487495,0.557379,0.165549,0.4777777777777778,0.46132065625
87,0.18322500416666668,0.107899,0.106624,0.291094,1.005878,0.198837,0.003843,2.856563,0.5650670000000001,0.162986,0.48333333333333334,0.5482016004166667
88,0.18573430833333332,0.107899,0.122001,0.296219,0.674044,0.174496,0.020494,2.900193,0.55866,0.16939199999999996,0.4888888888888889,0.5209132308333333
89,0.17987748333333334,0.102773,0.141222,0.310312,0.638178,0.18987,0.011528,2.508651,0.070473,0.162986,0.49444444444444446,0.4315870483333333
90,0.18500287083333333,0.107899,0.133533,0.307749,0.572849,0.246238,0.008966,2.230568,0.600944,0.168111,0.5,0.45618598708333324
91,0.18255228333333334,0.105336,0.142503,0.326967,0.748339,0.24367600000000003,0.005123,1.548669,0.576599,0.161705,0.5055555555555555,0.4041469283333333
92,0.18363075833333334,0.106617,0.155317,0.310312,0.735529,0.215492,0.030741,1.22938,0.588131,0.168111,0.5111111111111111,0.3723260758333333
93,0.1870049,0.106617,0.138659,0.294938,0.704787,0.183464,0.040988,1.283202,0.575318,0.17708,0.5166666666666667,0.36920579
94,0.18421799583333334,0.096367,0.142503,0.312874,0.657392,0.174496,0.01409,1.139577,0.078161,0.180924,0.5222222222222223,0.29806019958333335
95,0.18461843333333333,0.10918,0.107905,0.31928,0.653549,0.186026,0.023056,1.101132,0.603507,0.184767,0.5277777777777778,0.3473020433333333
96,0.17813704166666666,0.110461,0.101498,0.34106,0.567795,0.218054,0.010247,0.6627950000000001,0.627852,0.180924,0.5333333333333333,0.29988230416666667
97,0.1843194875,0.098929,0.134815,0.328248,0.516557,0.16681,0.028179,0.628195,0.613758,0.20526799999999998,0.5388888888888889,0.29050784874999996
98,0.18724511666666668,0.107899,0.074589,0.337216,0.556266,0.18987,0.042269,0.696113,0.5983819999999999,0.186049,0.5444444444444444,0.2975898116666667
99,0.18844638333333333,0.110461,0.105342,0.33465399999999995,0.525523,0.192432,0.056358,0.897307,0.622727,0.193736,0.55,0.3226986383333333
100,0.18957292499999998,0.098929,0.155317,0.338498,0.772677,0.207805,0.048673,0.673047,0.608632,0.20526799999999998,0.5555555555555556,0.32984189249999996
101,0.186246825,0.098929,0.173257,0.305187,0.617682,0.227022,0.053796,0.844766,0.450014,0.17836100000000002,0.5611111111111111,0.3135260825
102,0.1880620375,0.106617,0.152755,0.310312,0.558759,0.168091,0.025617,0.783255,0.5983819999999999,0.180924,0.5666666666666667,0.30727740375
103,0.19016019999999997,0.111743,0.163006,0.302625,0.702225,0.238551,0.048673,0.598721,0.624008,0.175799,0.5722222222222222,0.31555111999999996
104,0.18922056666666667,0.118149,0.195041,0.387182,0.759867,0.270579,0.05892,0.58975,0.624008,0.193736,0.5777777777777777,0.33864525666666667
105,0.18698892916666668,0.16427699999999998,0.22195100000000004,0.339779,0.74962,0.275703,0.073009,0.510298,0.631696,0.214236,0.5833333333333334,0.33675579291666674
106,0.188013975,0.127119,0.232202,0.424336,0.645863,0.262892,0.020494,0.506454,0.622727,0.22961099999999998,0.5888888888888889,0.3259711975
107,0.18534985,0.123275,0.296272,0.437148,0.87131,0.215492,0.051235,0.501328,0.632978,0.21808,0.5944444444444444,0.353246785
108,0.19323542500000002,0.11558699999999998,0.309086,0.438429,0.70863,0.22574,0.076852,0.723025,0.618883,0.200143,0.6,0.36096104250000005
109,0.1936891708333333,0.110461,0.259111,0.548611,0.608716,0.253925,0.053796,0.64101,0.644509,0.186049,0.6055555555555555,0.3499877170833333
110,0.19232250416666666,0.107899,0.24629699999999996,0.478146,0.575411,0.228303,0.07429,0.544898,0.647072,0.227049,0.6111111111111112,0.33216875041666666
111,0.18957824583333333,0.110461,0.247579,0.387182,0.567726,0.256487,0.069167,0.487231,0.491017,0.210393,0.6166666666666667,0.3016821245833333
112,0.1935771166666667,0.10918,0.243735,0.360278,0.636966,0.215492,0.076852,0.510298,0.549958,0.202705,0.6222222222222222,0.30990411166666665
113,0.19060861666666667,0.107899,0.223232,0.312874,0.657461,0.227022,0.078133,0.879366,0.73164,0.234736,0.6277777777777778,0.3642971616666667
114,0.19206623333333334,0.106617,0.215544,0.443554,0.821422,0.200118,0.084537,1.431854,0.689623,0.22833,0.6333333333333333,0.4413665233333333
115,0.19165508750000002,0.113024,0.259111,0.660073,0.639528,0.194994,0.08838,1.778055,0.68706,0.220643,0.6388888888888888,0.4832523087499999
116,0.19393482916666666,0.111743,0.227076,0.6037009999999999,0.603661,0.171934,0.089661,1.443388,0.608899,0.214236,0.6444444444444445,0.42682338291666666
117,0.19594760833333333,0.11558699999999998,0.216825,0.540923,0.713822,0.180902,0.092223,1.08329,0.61018,0.210393,0.65,0.3960092608333333
118,0.1945167125,0.16427699999999998,0.161724,0.440992,0.657461,0.193713,0.097346,0.937102,0.581991,0.234736,0.6555555555555556,0.36638587125
119,0.1957126416666667,0.130963,0.132252,0.392307,1.051992,0.203962,0.078133,1.181866,0.571741,0.210393,0.6611111111111111,0.4149321641666667
120,0.19836065833333333,0.125837,0.105342,0.394869,0.6715509999999999,0.173215,0.094784,1.27295,0.585835,0.191174,0.6666666666666666,0.38139176583333334
121,0.19365720416666665,0.123275,0.132252,0.435867,0.758586,0.183464,0.060201,1.085853,0.566615,0.186049,0.6722222222222223,0.3725819204166667
122,0.19863837916666668,0.133525,0.171976,0.458928,0.630561,0.16681,0.060201,0.981954,0.58071,0.184767,0.6777777777777778,0.3568070379166667
123,0.19533895416666666,0.129681,0.12328199999999999,0.388463,0.626718,0.198837,0.092223,1.257473,0.5614900000000002,0.20526799999999998,0.6833333333333333,0.37787739541666665
124,0.1942123875,0.1284,0.104061,0.408962,0.706137,0.211648,0.09350299999999999,1.085754,0.555083,0.28598699999999994,0.6888888888888889,0.37737473875
125,0.18818482083333335,0.125837,0.098935,0.408962,0.62928,0.193713,0.101189,1.262599,0.529457,0.246268,0.6944444444444444,0.3784424820833333
126,0.19246665000000002,0.127119,0.10278,0.533236,0.689484,0.197556,0.096065,1.588196,0.557646,0.232174,0.7,0.431672265
127,0.19260542916666665,0.1284,0.113031,0.5870459999999998,0.736879,0.215492,0.055077,1.258755,0.562771,0.22833,0.7055555555555556,0.40783864291666666
128,0.18969040833333334,0.127119,0.10278,0.484552,0.759936,0.214211,0.055077,0.476979,0.562771,0.220643,0.7111111111111111,0.3193758408333333
129,0.19247723333333333,0.116868,0.104061,0.369246,0.929021,0.241114,0.092223,1.440726,0.590961,0.234736,0.7166666666666667,0.43114332333333333
130,0.19529085000000002,0.125837,0.23092,0.508894,1.009721,0.22574,0.101189,1.097288,0.589679,0.264205,0.7222222222222222,0.4348763850000001
131,0.19339024166666666,0.120712,0.537177,0.416649,0.961045,0.191151,0.102469,0.86662,0.592242,0.244986,0.7277777777777777,0.42264412416666675
132,0.19143082916666668,0.12455599999999999,0.433383,0.378214,0.826546,0.289795,0.124244,1.0921619999999999,0.602492,0.252674,0.7333333333333333,0.4315496829166666
133,0.1959849458333333,0.125837,0.402629,0.329529,0.694608,0.259049,0.061482,1.3715250000000003,0.588398,0.261643,0.7388888888888889,0.4290684945833334
134,0.1939775125,0.127119,0.53077,0.300062,0.68308,0.259049,0.116559,1.113947,0.571741,0.21808,0.7444444444444445,0.41143845125
135,0.18921523333333334,0.125837,0.428257,0.292375,0.84576,0.241114,0.181883,1.108821,0.5614900000000002,0.211674,0.75,0.4186426233333334
136,0.19378534583333332,0.130963,0.359061,0.280845,0.743284,0.17834,0.283072,1.104976,0.583273,0.223205,0.7555555555555555,0.4080804345833333
137,0.1907422,0.130963,0.347529,0.285969,0.642089,0.252644,0.489292,0.764101,0.596086,0.216799,0.7611111111111111,0.39162142
138,0.19572864166666668,0.136088,0.273207,0.282126,0.757375,0.239833,0.178041,0.847398,0.584554,0.264205,0.7666666666666667,0.37585556416666666
139,0.19616110416666668,0.14762,0.42185,0.264189,0.715034,0.207805,0.134491,1.219029,0.594804,0.221924,0.7722222222222223,0.4122907104166666
140,0.200747225,0.133525,0.42185,0.278282,0.781643,0.230865,0.409878,1.63561,0.602492,0.203986,0.7777777777777778,0.4898878224999999
141,0.20500237083333334,0.1284,0.320619,0.264189,0.633054,0.210367,0.175479,2.394598,0.621712,0.223205,0.7833333333333333,0.5176625370833333
142,0.202701225,0.1284,0.39365900000000004,0.219348,0.528016,0.214211,0.111436,1.208777,0.633244,0.215518,0.7888888888888889,0.3855310225
143,0.2029521833333333,0.1284,0.476951,0.274439,0.658673,0.210367,0.27154399999999995,1.088317,0.625556,0.22961099999999998,0.7944444444444444,0.4166810183333333
144,0.20160147083333332,0.150183,0.433383,0.28725,0.64202,0.184745,0.208782,0.894813,0.585835,0.242424,0.8,0.38310364708333333
145,0.1985689625,0.133525,0.544865,0.39614999999999995,0.739372,0.215492,0.395788,1.2050310000000002,0.598648,0.234736,0.8055555555555556,0.46621759625000003
146,0.20080594583333333,0.127119,0.467981,0.344903,0.786767,0.187307,0.146019,1.368962,0.587116,0.225768,0.8111111111111111,0.4442747945833333
147,0.19936979166666668,0.125837,0.343684,0.42049299999999995,1.112196,0.211648,0.308689,1.175557,0.590961,0.209111,0.8166666666666667,0.46975457916666663
148,0.20350741666666666,0.123275,0.312931,0.398713,0.749689,0.214211,0.467517,0.910191,0.61018,0.202705,0.8222222222222222,0.4192919416666666
149,0.21022376666666667,0.123275,0.301398,0.380776,0.899559,0.212929,0.584076,1.094725,0.608899,0.206549,0.8277777777777777,0.46224097666666664
150,0.2111206625,0.123275,0.262956,0.376933,1.508108,0.241114,0.262578,0.844835,0.589679,0.210393,0.8333333333333334,0.46309916624999997
151,0.2042655375,0.121993,0.24629699999999996,0.360278,1.027753,0.227022,0.45983199999999996,0.878084,0.622994,0.236018,0.8388888888888889,0.4384536537499999
152,0.2076397375,0.118149,0.216825,0.371808,1.373608,0.193713,0.56102,0.625632,0.61915,0.237299,0.8444444444444444,0.45248437375000006
153,0.20904381666666666,0.110461,0.212981,0.351309,1.016225,0.168091,0.480326,0.9896429999999999,0.615306,0.250111,0.85,0.4403496816666667
154,0.2033365625,0.11558699999999998,0.262956,0.531955,0.957202,0.16681,0.522594,0.903783,0.597367,0.246268,0.8555555555555555,0.4507858562499999
155,0.21050670833333335,0.121993,0.461574,0.48198899999999995,0.980259,0.211648,0.198535,0.517987,0.607618,0.241143,0.8611111111111112,0.40332527083333325
156,0.21383290833333335,0.1284,0.451323,0.453803,0.939269,0.214211,0.555897,0.742247,0.622994,0.21808,0.8666666666666667,0.4540056908333333
157,0.20531200000000002,0.1284,0.438509,0.44996,0.823984,0.279547,0.503381,0.93447,0.625556,0.209111,0.8722222222222222,0.4598230000000001
158,0.21045867499999998,0.125837,0.624313,0.329529,0.711261,0.259049,0.494415,0.949848,0.601211,0.243705,0.8777777777777778,0.4549626675000001
159,0.20899049166666667,0.127119,0.462855,0.42049299999999995,0.922617,0.218054,0.498258,0.610254,0.601211,0.212955,0.8833333333333333,0.42828064916666664
160,0.20753830416666666,0.125837,0.5858709999999999,0.533236,0.895717,0.203962,0.327902,0.567698,0.652464,0.225768,0.8888888888888888,0.43259933041666676
161,0.21415318333333333,0.113024,0.606373,0.498645,0.7560939999999999,0.192432,0.32021700000000003,0.61538,0.631963,0.232174,0.8944444444444445,0.41804551833333337
162,0.20653991249999998,0.150183,0.534614,0.517862,0.616471,0.179621,0.528999,0.897307,0.63837,0.216799,0.9,0.4486765912499999
163,0.20842453333333333,0.152745,0.451323,0.46149,0.694608,0.2014,0.557178,0.775635,0.625556,0.237299,0.9055555555555556,0.4365658533333333
164,0.21584563333333331,0.136088,0.462855,0.447398,0.613909,0.214211,0.568705,0.915317,0.403619,0.21808,0.9111111111111111,0.41960276333333335
165,0.2148259125,0.105336,0.589715,0.501207,0.529366,0.212929,0.536684,0.947354,0.588398,0.224486,0.9166666666666666,0.4450300912499999
166,0.2134697375,0.139932,0.708886,0.601139,0.510152,0.209086,0.532841,1.085754,0.658871,0.264205,0.9222222222222223,0.49243357374999996
167,0.2079174208333333,0.12455599999999999,0.8254940000000001,0.553735,0.70998,0.188589,0.47136,1.112665,0.822881,0.221924,0.9277777777777778,0.5239101420833332
168,0.21860580833333332,0.12455599999999999,0.770393,0.770254,0.649775,0.180902,0.526437,0.779479,0.7998169999999999,0.20783,0.9333333333333333,0.5028048808333334
169,0.2238432625,0.129681,0.705041,0.6997890000000001,0.60238,0.165529,0.552054,0.741035,0.757534,0.19629900000000003,0.9388888888888889,0.47731852625000004
170,0.213982325,0.12455599999999999,0.638408,0.7241319999999999,0.638247,0.268017,0.482887,0.747442,0.738314,0.200143,0.9444444444444444,0.4776128324999999
171,0.21736182083333333,0.110461,0.617906,0.829188,0.690765,0.197556,0.544369,0.468078,0.742158,0.219361,0.95,0.4637203820833333
172,0.21657164166666665,0.139932,0.485921,0.701071,0.688204,0.210367,0.528999,0.899939,0.719094,0.219361,0.9555555555555556,0.4809459641666667
173,0.21425992083333334,0.151464,0.447478,0.712601,0.657461,0.206524,0.416282,0.794857,0.731907,0.215518,0.9611111111111111,0.45483519208333334
174,0.21787970416666666,0.159152,0.368031,0.630675,0.743284,0.18987,0.32406,0.93582,0.724219,0.198861,0.9666666666666667,0.44918517041666667
175,0.21919308333333334,0.137369,0.318056,0.592171,0.797084,0.15399900000000002,0.535403,0.77941,0.724219,0.188611,0.9722222222222222,0.44455150833333335
176,0.21367270833333332,0.136088,0.3219,0.640855,0.786836,0.18987,0.511066,0.876803,0.701155,0.221924,0.9777777777777777,0.46001697083333326
177,0.21567478333333331,0.134807,0.28345800000000004,0.594733,0.79196,0.148874,0.26514,0.647417,0.67681,0.193736,0.9833333333333333,0.39526097833333335
178,0.21846161666666666,0.134807,0.383408,0.626762,0.679237,0.15528,0.508505,0.667921,0.67681,0.18732999999999997,0.9888888888888889,0.42385216166666667
179,0.21776220833333332,0.129681,0.442353,0.698508,0.633123,0.148874,0.476483,0.523113,0.694748,0.19758,0.9944444444444445,0.4162225208333334
180,0.21688672083333332,0.134807,0.415443,0.626762,0.711261,0.187307,0.586638,0.407779,0.675528,0.186049,1.0,0.41484607208333335
